Operator,Lease,Field,Section,Township,Range,County,Latitude,Longitude,No. of Ponds,Status
"25 Hill Properties, Inc.",B-Zone (Shell),Midway-Sunset,22,32S,23E,Kern,35.13408,-119.49507,1,Active
"25 Hill Properties, Inc.",Jameson Trust,Midway-Sunset,24,32S,23E,Kern,35.13032,-119.45068,1,Active
"25 Hill Properties, Inc.",Virginia Lands,Midway-Sunset,22,32S,23E,Kern,35.13349,-119.49078,1,Active
Aera Energy LLC,Belridge A,Belridge North,22,27S,20E,Kern,35.56058,-119.81293,1,Inactive
Aera Energy LLC,Sec 35,Belridge North,35,27S,20E,Kern,35.53503,-119.78417,1,Inactive
Aera Energy LLC,Sec 35,Belridge North,35,27S,20E,Kern,35.53405,-119.78276,1,Inactive
Aera Energy LLC,Sec 35,Belridge North,35,27S,20E,Kern,35.538652,-119.788871,1,Inactive
Aera Energy LLC,Sec 35,Belridge North,35,27S,20E,Kern,35.534018,-119.783081,1,Inactive
Aera Energy LLC,Sec 35,Belridge North,35,27S,20E,Kern,35.53463,-119.78208,1,Inactive
Aera Energy LLC,Section 27,Belridge North,27,27S,20E,Kern,35.55681,-119.81161,1,Inactive
Aera Energy LLC,Section 27,Belridge North,27,27S,20E,Kern,35.5436,-119.79724,1,Inactive
Aera Energy LLC,Belridge V,Belridge South,2,29S,21E,Kern,35.42853,-119.6896,1,Inactive
Aera Energy LLC,Belridge V,Belridge South,2,29S,21E,Kern,35.428096,-119.689071,1,Inactive
Aera Energy LLC,Belridge V,Belridge South,2,29S,21E,Kern,35.42701,-119.68762,1,Active
Aera Energy LLC,Belridge V,Belridge South,2,29S,21E,Kern,35.428,-119.68798,1,Active
Aera Energy LLC,NA,Belridge South,28,28S,21E,Kern,35.45673,-119.71796,1,Inactive
Aera Energy LLC,NA,Belridge South,28,28S,21E,Kern,35.45701,-119.71243,1,Inactive
Aera Energy LLC,NA,Belridge South,27,28S,21E,Kern,35.45598,-119.70603,1,Inactive
Aera Energy LLC,NA,Belridge South,28,28S,21E,Kern,35.46253,-119.72356,1,Inactive
Aera Energy LLC,Section 20,Belridge South,20,28S,21E,Kern,35.48194,-119.73492,1,Active
Aera Energy LLC,Section 20,Belridge South,20,28S,21E,Kern,35.480571,-119.73597,1,Active
Aera Energy LLC,Section 20,Belridge South,20,28S,21E,Kern,35.480388,-119.735782,1,Active
Aera Energy LLC,Section 20,Belridge South,20,28S,21E,Kern,35.479995,-119.735787,1,Active
Aera Energy LLC,Section 20,Belridge South,20,28S,21E,Kern,35.48031,-119.73526,1,Active
Aera Energy LLC,Section 20,Belridge South,20,28S,21E,Kern,35.48193,-119.73377,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.45964,-119.70513,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.46028,-119.70287,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.46048,-119.70233,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.46027,-119.70267,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.46179,-119.70642,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.46013,-119.70279,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.460222,-119.704502,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.45919,-119.70432,1,Active
Aera Energy LLC,Section 27,Belridge South,27,28S,21E,Kern,35.45993,-119.70384,1,Active
