WELL ID,WELL NAME,LATITUDE,LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,MONTH,DAY,YEAR,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
08N19W06N001S,08N19W06N001S,34.8061,-118.9443,TDS,=,460,MG/L,9,11,1981,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N08W06H002S,09N08W06H002S,34.9022,-117.7617,TDS,=,584,MG/L,10,13,1964,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N09W06A001S,09N09W06A001S,34.9058,-117.8682,TDS,=,412,MG/L,10,12,1964,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N09W06L001S,09N09W06L001S,34.8986,-117.877,TDS,=,496,MG/L,10,9,1964,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N10W24C001S,09N10W24C001S,34.8661,-117.8931,TDS,=,275,MG/L,10,9,1964,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N10W24F001S,09N10W24F001S,34.8608,-117.8926,TDS,=,260,MG/L,6,14,1959,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N12W16P003S,09N12W16P003S,34.8659,-118.1603,TDS,=,282,MG/L,8,10,1982,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N12W21D002S,09N12W21D002S,34.8611,-118.1651,TDS,=,430,MG/L,11,14,1983,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N12W21E001S,09N12W21E001S,34.8603,-118.167,TDS,=,420,MG/L,11,14,1983,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N12W21N001S,09N12W21N001S,34.8513,-118.1644,TDS,=,250,MG/L,11,14,1983,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N12W24C001S,09N12W24C001S,34.8621,-118.1069,TDS,=,265,MG/L,8,15,1953,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N13W07R004S,09N13W07R004S,34.8804,-118.2935,TDS,=,296,MG/L,4,18,1962,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N13W20C001S,09N13W20C001S,34.8633,-118.2862,TDS,=,227,MG/L,9,4,1958,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N13W22A001S,09N13W22A001S,34.863,-118.2387,TDS,=,380,MG/L,11,18,1954,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N14W32D001S,09N14W32D001S,34.8328,-118.3959,TDS,=,227,MG/L,10,20,1954,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N14W32D001S,09N14W32D001S,34.8328,-118.3959,TDS,=,208,MG/L,6,8,1965,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
09N17W11E002SS,09N17W11E002SS,34.8876,-118.6614,TDS,=,279,MG/L,4,27,1966,WATER SUPPLY (WELLS),DWR,KERN,6,NO BASIN FOUND,34,16
09N17W29P001SS,09N17W29P001SS,34.8367,-118.7092,TDS,=,357,MG/L,8,23,1965,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),34,16
09N18W08H003SS,09N18W08H003SS,34.8825,-118.8178,TDS,=,495,MG/L,3,24,1966,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N18W09N001SS,09N18W09N001SS,34.8753,-118.8131,TDS,=,632,MG/L,3,24,1966,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N18W11A001SS,09N18W11A001SS,34.8861,-118.7642,TDS,=,800,MG/L,12,5,1962,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N18W18E001SS,09N18W18E001SS,34.8684,-118.8485,TDS,=,240,MG/L,5,18,1964,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N18W28G001SS,09N18W28G001SS,34.8401,-118.8033,TDS,=,424,MG/L,5,22,1964,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N19W12R001SS,09N19W12R001SS,34.8753,-118.8535,TDS,=,336,MG/L,3,29,1966,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
09N19W31N001S,09N19W31N001S,34.8187,-118.9545,TDS,=,520,MG/L,10,28,1983,WATER SUPPLY (WELLS),DWR,KERN,5,CUDDY CANYON VALLEY (5-082),34,16
09N20W36F002S,09N20W36F002S,34.8259,-118.968,TDS,=,790,MG/L,10,12,1981,WATER SUPPLY (WELLS),DWR,KERN,5,NO BASIN FOUND,34,16
10N12W15M003S,10N12W15M003S,34.9591,-118.1487,TDS,=,262,MG/L,8,19,1987,WATER SUPPLY (WELLS),DWR,KERN,6,FREMONT VALLEY (6-046),36,16
10N12W19D001S,10N12W19D001S,34.9495,-118.2013,TDS,=,252,MG/L,6,3,1965,WATER SUPPLY (WELLS),DWR,KERN,6,FREMONT VALLEY (6-046),36,16
10N12W22N001S,10N12W22N001S,34.9387,-118.148,TDS,=,908,MG/L,8,8,1960,WATER SUPPLY (WELLS),DWR,KERN,6,FREMONT VALLEY (6-046),36,16
10N12W22N001S,10N12W22N001S,34.9387,-118.148,TDS,=,815,MG/L,4,17,1961,WATER SUPPLY (WELLS),DWR,KERN,6,FREMONT VALLEY (6-046),36,16
10N13W24C001S,10N13W24C001S,34.9495,-118.2146,TDS,=,236,MG/L,10,20,1954,WATER SUPPLY (WELLS),DWR,KERN,6,FREMONT VALLEY (6-046),36,16
10N13W32D001S,10N13W32D001S,34.9203,-118.2895,TDS,=,325,MG/L,4,24,1979,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
10N14W25R001S,10N14W25R001S,34.9241,-118.312,TDS,=,405,MG/L,6,4,1953,WATER SUPPLY (WELLS),DWR,KERN,6,ANTELOPE VALLEY (6-044),36,16
