WELL_ID,Trend,Presence,p-value,z
W0601510006,no trend, False,0.126722877,1.527153377
W0601510003,decreasing, True,0.00354141,-2.916360584
W0601510031,no trend, False,0.058627941,-1.890973059
W0601510055,no trend, False,0.458402583,0.741479787
W0601510022,no trend, False,0.764060408,-0.30015306
W0601510005,increasing, True,0.003188694,2.948936561
W0601500341,no trend, False,0.806495941,-0.244948974
W0601502030,no trend, False,1,0
W0601510701,decreasing, True,2.20E-04,-3.69483032
W0601500455,no trend, False,0.815745339,-0.233020691
W0601500495,no trend, False,0.395488656,0.849705831
W0601510038,no trend, False,0.698756174,0.387000046
W0601510026,no trend, False,0.512449676,0.655028079
W0601500407,no trend, False,0.329192179,0.975742311
W0601500371,increasing, True,1.57E-06,4.802725322
W0601502068,no trend, False,1,0
W0601503104,no trend, False,1,0
W0601510052,decreasing, True,2.46E-04,-3.666759053
W0601510044,decreasing, True,0.017984184,-2.365943591
W0601500481,decreasing, True,0.004687664,-2.827748338
W0601502223,no trend, False,1,0
W0601502183,no trend, False,1,0
W0601510056,no trend, False,0.279909099,-1.080523564
W0601502029,no trend, False,1,0
W0601502217,no trend, False,1,0
W0601500424,no trend, False,0.135109206,1.494254143
W0601503397,no trend, False,1,0
W0601502756,no trend, False,1,0
W0601500380,no trend, False,0.306592915,1.022397265
W0601503209,no trend, False,0.089429359,1.698415551
W0601503226,decreasing, True,0.008090376,-2.64827468
W0601500449,no trend, False,0.747898059,0.321412173
W0601500458,increasing, True,0.024170547,2.254407448
W0601502244,no trend, False,1,0
W0601510012,no trend, False,0.187862948,-1.316927439
W0601500216,no trend, False,0.353262801,0.928279122
W0601500569,increasing, True,7.25E-07,4.954629756
W0601510014,no trend, False,0.698558291,-0.387267354
W0601500050,no trend, False,0.196197663,1.292460655
W0601510017,no trend, False,0.073519968,-1.789589247
W0601500252,no trend, False,1,0
W0601500336,no trend, False,0.660050948,-0.439842825
W0601510019,no trend, False,0.390041374,0.859542334
W0601510043,no trend, False,0.086283072,-1.715339112
W0601510032,increasing, True,0.034440305,2.114878493
W0601500377,no trend, False,1,0
W0601510703,no trend, False,0.436169532,-0.778677808
W0601500448,increasing, True,5.41E-04,3.459727932
W0601510007,no trend, False,0.053675607,1.929445278
W0601503660,no trend, False,1,0
W0601500520,no trend, False,1,0
W0601503671,no trend, False,1,0
W0601510029,no trend, False,0.219321933,-1.228333147
W0601510045,no trend, False,0.599913291,0.524525209
W0601510018,increasing, True,8.77E-04,3.327228322
W0601510028,no trend, False,0.835428249,-0.207744783
W0601502724,no trend, False,1,0
W0601500554,no trend, False,0.945836086,0.067936622
W0601500374,no trend, False,1,0
W0601500211,no trend, False,0.543850485,-0.607000644
W0601503341,no trend, False,0.091393905,-1.688090256
W0601510033,no trend, False,0.100169198,1.644033911
W0601510023,increasing, True,0.013650755,2.466324636
W0601510702,no trend, False,0.795020033,0.259797431
W0601500465,no trend, False,0.80612609,0.245426658
W0601503140,no trend, False,1,0
W0601500364,no trend, False,0.567709166,0.571428571
W0601510024,increasing, True,0.047814565,1.979012797
W0601502564,no trend, False,0.548005572,0.600751409
W0601510015,no trend, False,0.973576402,0.033123124
W0601500301,increasing, True,0.027486336,2.204540769
W0601500484,no trend, False,1,0
W0601500421,no trend, False,1,0
W0601502718,no trend, False,1,0
W0601502645,decreasing, True,0.042960146,-2.024097255
W0601510002,no trend, False,0.362562687,0.910492782
W0601500070,no trend, False,1,0
W0601500121,no trend, False,0.457717434,-0.742610657
W0601502094,no trend, False,0.520050527,-0.643267521
W0601502027,no trend, False,1,0
W0601503249,no trend, False,1,0
W0601502820,no trend, False,0.229556214,1.201502818
W0601500550,increasing, True,0.037619707,2.078974359
W0601504001,no trend, False,1,0
W0601500209,no trend, False,0.194268342,-1.298055273
W0601503475,no trend, False,0.482932897,-0.701593194
W0601503093,increasing, True,0.004434008,2.845512041
W0601502771,no trend, False,0.220671362,1.224744871
W0601510020,decreasing, True,0.026674651,-2.216246115
W0601500398,no trend, False,0.938134268,0.077615053
W0601500373,no trend, False,0.220671362,1.224744871
W0601500544,no trend, False,0.244332522,1.164225789
W0601500006,no trend, False,1,0
W0601502033,no trend, False,0.308179547,1.019049331
W0601503304,no trend, False,0.465003304,0.730633075
W0601502717,no trend, False,1,0
W0601500588,no trend, False,0.075287444,1.778709238
W0601503319,no trend, False,1,0
W0601503349,increasing, True,0.001643679,3.148042295
W0601500284,no trend, False,0.102312732,1.633743446
W0601500087,no trend, False,1,0
W0601510046,increasing, True,0.027830978,2.19966069
W0601502320,no trend, False,0.230535217,-1.198981299
W0601502133,no trend, False,0.220671362,1.224744871
