WELL_ID,TREND,Presence,p-val,z
W0601502030,|('no trend', False,1, 0)|
W0601510701,|('decreasing', True,0.000220034, -3.6948303200820756)|
W0601500455,|('no trend', False,0.815745339, -0.2330206912141852)|
W0601500495,|('no trend', False,0.395488656, 0.8497058314499201)|
W0601510038,|('no trend', False,0.698756174, 0.3870000463968843)|
W0601510022,|('no trend', False,0.705593381, -0.37778087616760364)|
W0601510026,|('no trend', False,0.512449676, 0.6550280794721897)|
W0601500407,|('no trend', False,0.329192179, 0.975742310718226)|
W0601500371,|('increasing', True,1.57E-06, 4.802725322415301)|
W0601503104,|('no trend', False,1, 0.0)|
W0601510052,|('decreasing', True,0.000245644, -3.6667590527902854)|
W0601510055,|('no trend', False,0.458402583, 0.7414797868493969)|
W0601510044,|('decreasing', True,0.017984184, -2.3659435909654003)|
W0601500481,|('decreasing', True,0.004687664, -2.827748337732258)|
W0601502183,|('no trend', False,1, 0.0)|
W0601510003,|('decreasing', True,0.00354141, -2.9163605840227427)|
W0601510056,|('no trend', False,0.279909099, -1.0805235638660666)|
W0601502029,|('no trend', False,1, 0)|
W0601502217,|('no trend', False,1, 0)|
W0601500424,|('no trend', False,0.135109206, 1.4942541429619325)|
W0601503397,|('no trend', False,1, 0)|
W0601502756,|('no trend', False,1, 0.0)|
W0601503209,|('no trend', False,0.089429359, 1.6984155512168937)|
W0601500380,|('no trend', False,0.306592915, 1.0223972648864954)|
W0601503226,|('decreasing', True,0.008090376, -2.648274679602921)|
W0601500449,|('no trend', False,0.747898059, 0.32141217326661253)|
W0601502244,|('no trend', False,1, 0.0)|
W0601500458,|('increasing', True,0.024170547, 2.2544074479065386)|
W0601510031,|('no trend', False,0.058627941, -1.890973059159369)|
W0601510005,|('increasing', True,0.003188694, 2.9489365610788076)|
W0601510006,|('no trend', False,0.126722877, 1.527153377010946)|
W0601500216,|('no trend', False,0.353262801, 0.928279121632914)|
W0601510012,|('no trend', False,0.187862948, -1.316927438794825)|
W0601500569,|('increasing', True,7.25E-07, 4.954629756191921)|
W0601510014,|('no trend', False,0.698558291, -0.38726735447154037)|
W0601500050,|('no trend', False,0.196197663, 1.2924606552829938)|
W0601510017,|('no trend', False,0.073519968, -1.7895892473637076)|
W0601500252,|('no trend', False,1, 0.0)|
W0601500336,|('no trend', False,0.660050948, -0.4398428249989876)|
W0601510019,|('no trend', False,0.390041374, 0.8595423339799436)|
W0601510043,|('no trend', False,0.086283072, -1.7153391117083598)|
W0601510032,|('increasing', True,0.034440305, 2.114878493289016)|
W0601500377,|('no trend', False,1, 0.0)|
W0601510703,|('no trend', False,0.436169532, -0.7786778078328643)|
W0601500448,|('increasing', True,0.000540721, 3.4597279317954697)|
W0601510007,|('no trend', False,0.053675607, 1.929445277873038)|
W0601500520,|('no trend', False,1, 0.0)|
W0601510045,|('no trend', False,0.599913291, 0.5245252092333527)|
W0601510018,|('increasing', True,0.000877145, 3.3272283221039696)|
W0601510028,|('no trend', False,0.835428249, -0.20774478269463736)|
W0601510029,|('no trend', False,0.219321933, -1.2283331466299108)|
W0601502724,|('no trend', False,1, 0)|
W0601500554,|('no trend', False,0.945836086, 0.06793662204867575)|
W0601500374,|('no trend', False,1, 0.0)|
W0601500211,|('no trend', False,0.543850485, -0.6070006438706541)|
W0601503341,|('no trend', False,0.091393905, -1.6880902558642397)|
W0601510033,|('no trend', False,0.079440383, 1.753942369608548)|
W0601510023,|('increasing', True,0.013650755, 2.4663246362668065)|
W0601510702,|('no trend', False,0.795020033, 0.2597974308304364)|
W0601500465,|('no trend', False,0.80612609, 0.24542665764607569)|
W0601503140,|('no trend', False,1, 0)|
W0601510024,|('increasing', True,0.047814565, 1.9790127972780778)|
W0601500364,|('no trend', False,0.567709166, 0.5714285714285714)|
W0601510015,|('no trend', False,0.973576402, 0.03312312444903266)|
W0601502564,|('no trend', False,0.548005572, 0.6007514091861106)|
W0601500301,|('increasing', True,0.027486336, 2.2045407685048604)|
W0601500484,|('no trend', False,1, 0)|
W0601510002,|('no trend', False,0.362562687, 0.9104927817414118)|
W0601502645,|('decreasing', True,0.042960146, -2.0240972548199596)|
W0601502094,|('no trend', False,0.520050527, -0.6432675209026769)|
W0601500070,|('no trend', False,1, 0.0)|
W0601500121,|('no trend', False,0.457717434, -0.7426106572325056)|
W0601502027,|('no trend', False,1, 0)|
W0601503249,|('no trend', False,1, 0.0)|
W0601502820,|('no trend', False,0.229556214, 1.2015028183722212)|
W0601500550,|('increasing', True,0.037619707, 2.078974359474349)|
W0601504001,|('no trend', False,1, 0)|
W0601500209,|('no trend', False,0.194268342, -1.2980552728017947)|
W0601503475,|('no trend', False,0.482932897, -0.7015931938871256)|
W0601503093,|('increasing', True,0.004434008, 2.8455120410060126)|
W0601510020,|('decreasing', True,0.026674651, -2.216246115289374)|
W0601500398,|('no trend', False,0.938134268, 0.07761505257063328)|
W0601500544,|('no trend', False,0.244332522, 1.1642257885594993)|
W0601500373,|('no trend', False,0.220671362, 1.224744871391589)|
W0601500006,|('no trend', False,1, 0.0)|
W0601502033,|('no trend', False,0.308179547, 1.0190493307301363)|
W0601503304,|('no trend', False,0.465003304, 0.7306330752902452)|
W0601500588,|('no trend', False,0.075287444, 1.7787092376951583)|
W0601503319,|('no trend', False,1, 0)|
W0601503349,|('increasing', True,0.001643679, 3.148042295477062)|
W0601500284,|('no trend', False,0.102312732, 1.6337434459115125)|
W0601500087,|('no trend', False,1, 0)|
W0601510046,|('increasing', True,0.027830978, 2.199660689818172)|
W0601502320,|('no trend', False,0.230535217, -1.1989812986603614)|
W0601502084,|('no trend', False,1, 0.0)|
W0601502133,|('no trend', False,0.220671362, 1.224744871391589)|
W0601502545,|('no trend', False,0.533829422, -0.6221710168382552)|
W0601502398,|('no trend', False,1, 0)|
W0601502465,|('no trend', False,0.9386243, -0.07699905035090181)|
W0601502324,|('no trend', False,1, 0)|
W0601500026,|('no trend', False,0.296269871, 1.044465935734187)|
W0601503578,|('no trend', False,1, 0)|
W0601502245,|('no trend', False,1, 0.0)|
W0601502763,|('no trend', False,0.296269871, 1.044465935734187)|
W0601503100,|('no trend', False,0.086410733, -1.7146428199482247)|
W0601500405,|('no trend', False,0.503187572, 0.6694827640161777)|
W0601500395,|('no trend', False,1, 0.0)|
W0601500305,|('no trend', False,0.489483957, 0.6911298276501672)|
W0601500585,|('no trend', False,0.377873894, -0.8818204817099624)|
W0601502231,|('no trend', False,0.520050527, -0.6432675209026769)|
W0601500571,|('no trend', False,0.536186772, -0.6185895741317419)|
W0601510021,|('no trend', False,0.235117521, 1.1872791724760081)|
W0601502524,|('no trend', False,1, 0)|
W0601500352,|('no trend', False,1, 0)|
W0601500251,|('decreasing', True,0.0347655, -2.111079253238338)|
W0601510025,|('no trend', False,0.117245037, 1.5664425975995397)|
W0601502327,|('no trend', False,1, 0.0)|
W0601510049,|('no trend', False,0.199398725, -1.2832664993548824)|
W0601500314,|('increasing', True,0.001820533, 3.1180478223116177)|
W0601502429,|('no trend', False,1, 0)|
W0601503329,|('no trend', False,0.654146278, -0.4480095859171255)|
W0601510001,|('increasing', True,0.034022798, 2.1198013960862045)|
W0601503202,|('no trend', False,0.296269871, -1.044465935734187)|
W0601502252,|('no trend', False,0.806495941, 0.2449489742783178)|
W0601500540,|('no trend', False,0.085624284, 1.718945569047122)|
W0601502685,|('no trend', False,1, 0.0)|
W0601502134,|('no trend', False,1, 0)|
W0601503292,|('no trend', False,1, 0.0)|
W0601502260,|('no trend', False,0.308179547, 1.0190493307301363)|
W0601500579,|('no trend', False,0.860579192, 0.17563692393356012)|
W0601500421,|('no trend', False,1, 0.0)|
W0601500231,|('no trend', False,0.312976704, -1.0089956834182328)|
W0601503380,|('no trend', False,0.303673215, -1.0285882219856124)|
W0601500600,|('no trend', False,0.734095182, -0.3396831102433787)|
W0601502315,|('no trend', False,0.087371786, -1.7094275248537958)|
W0601510013,|('no trend', False,0.171496983, -1.36740951055551)|
W0601510800,|('no trend', False,0.264569093, -1.115656744018239)|
W0601500475,|('increasing', True,0.033200055, 2.129655622598673)|
W0601500290,|('no trend', False,0.452370361, -0.7514691493021795)|
W0601500597,|('no trend', False,0.457717434, -0.7426106572325056)|
W0601502615,|('no trend', False,0.300281767, -1.0358293407564896)|
W0601502142,|('no trend', False,1, 0)|
W0601502163,|('no trend', False,1, 0)|
W0601500525,|('no trend', False,1, 0)|
W0601503543,|('no trend', False,1, 0)|
W0601510051,|('no trend', False,0.757050396, 0.3093564474773736)|
W0601500443,|('increasing', True,0.037755692, 2.077497214145253)|
W0601502744,|('no trend', False,0.296269871, 1.044465935734187)|
W0601502569,|('increasing', True,0.042254021, 2.03100960115899)|
W0601500096,|('increasing', True,0.004878564, 2.8149445897705094)|
W0601503182,|('no trend', False,0.710523023, -0.3711537444790451)|
W0601502686,|('no trend', False,1, 0)|
W0601900767,|('no trend', False,1, 0.0)|
W0601502633,|('no trend', False,1, 0.0)|
W0601503482,|('no trend', False,1, 0)|
W0601502213,|('no trend', False,1, 0.0)|
W0601510054,|('no trend', False,0.78909362, 0.26748778252687505)|
W0601500436,|('no trend', False,0.335088748, -0.9639145911260822)|
W0601500478,|('no trend', False,0.330422511, -0.9732631917600489)|
W0601500038,|('no trend', False,0.220671362, -1.224744871391589)|
W0601500556,|('no trend', False,0.312976704, 1.0089956834182328)|
W0601500516,|('no trend', False,0.353262801, 0.928279121632914)|
W0601510027,|('increasing', True,0.014022064, 2.4566976732517)|
W0601502580,|('no trend', False,1, 0)|
W0601500491,|('no trend', False,1, 0.0)|
W0601500409,|('increasing', True,0.003227409, 2.9452048899143537)|
W0601503305,|('no trend', False,0.132854956, -1.502938298604359)|
W0601502670,|('no trend', False,0.487746953, 0.6938967635366243)|
